activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train,source_eventlog
LL_receive,8.0,10,6.512639457703715,11.887242059209337,7.290950470156978,12.386566924224713,-0.13224094236110417,146,582,s6_train.csv
LL_receive,8.0,20,6.512639457703715,11.887242059209337,7.114348685967636,11.785146857554532,-0.024960067681428333,146,582,s6_train.csv
LL_receive,8.0,50,6.512639457703715,11.887242059209337,6.744312224791301,11.783878704432329,-0.024739495737410744,146,582,s6_train.csv
LL_receive,,5,6.512639457703715,11.887242059209337,7.7914709719504245,13.273442370937609,-0.3001818086551564,146,582,s6_train.csv
LL_receive,,10,6.512639457703715,11.887242059209337,7.303700766308913,12.325712155321838,-0.12114295143035525,146,582,s6_train.csv
LL_receive,,20,6.512639457703715,11.887242059209337,7.123481106058961,11.813397187972397,-0.029879847754610944,146,582,s6_train.csv
LL_receive,,50,6.512639457703715,11.887242059209337,6.744312224791301,11.783878704432329,-0.024739495737410744,146,582,s6_train.csv
RMG_delivery,2.0,5,5.826662127235516,11.056444154514283,5.682647635469229,11.016429700641929,-0.004170396971667323,2802,11208,s6_train.csv
RMG_delivery,2.0,10,5.826662127235516,11.056444154514283,5.682647635469229,11.016429700641929,-0.004170396971667323,2802,11208,s6_train.csv
RMG_delivery,2.0,20,5.826662127235516,11.056444154514283,5.682647635469229,11.016429700641929,-0.004170396971667323,2802,11208,s6_train.csv
RMG_delivery,2.0,50,5.826662127235516,11.056444154514283,5.682647635469229,11.016429700641929,-0.004170396971667323,2802,11208,s6_train.csv
RMG_delivery,3.0,5,5.826662127235516,11.056444154514283,5.764559260823556,11.05746274813862,-0.011664822949648102,2802,11208,s6_train.csv
RMG_delivery,3.0,10,5.826662127235516,11.056444154514283,5.764559260823556,11.05746274813862,-0.011664822949648102,2802,11208,s6_train.csv
RMG_delivery,3.0,20,5.826662127235516,11.056444154514283,5.764559260823556,11.05746274813862,-0.011664822949648102,2802,11208,s6_train.csv
RMG_delivery,3.0,50,5.826662127235516,11.056444154514283,5.764559260823556,11.05746274813862,-0.011664822949648102,2802,11208,s6_train.csv
RMG_delivery,5.0,5,5.826662127235516,11.056444154514283,5.845857818182645,11.138361482157936,-0.026522081519410934,2802,11208,s6_train.csv
RMG_delivery,5.0,10,5.826662127235516,11.056444154514283,5.83354406719567,11.123077477202516,-0.023706837254152235,2802,11208,s6_train.csv
RMG_delivery,5.0,20,5.826662127235516,11.056444154514283,5.8075640158251325,11.085496902147055,-0.016801104273596268,2802,11208,s6_train.csv
RMG_delivery,5.0,50,5.826662127235516,11.056444154514283,5.779280918274172,11.076164667277064,-0.01508985349699743,2802,11208,s6_train.csv
RMG_delivery,8.0,5,5.826662127235516,11.056444154514283,6.173599339103009,11.447663989892204,-0.08432488919698833,2802,11208,s6_train.csv
