case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,process_flow_type,visit_complexity,target_rank,target_area,has_reefer,n_receives,target_demand_bin,mt_utilization,target_demand,n_stops,rmg_demand,mt_demand,target_rank_group,vc_utilization,n_deliveries,rmg_utilization,target_utilization,vc_demand,gate_demand,gate_utilization,full_ratio,target_utilization_bin,has_hazardous,primary_target_area,n_containers
case_26,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,delivery,2,10.0,T14,0,0,very_high,0.87,11.8,1,115.5,38.7,mid,0.35,1,0.45,0.5172,36.3,181.2,0.5072,0.0,medium,0,T14,1
case_27,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,receive,7,,VC,0,1,very_high,0.87,14.9,1,67.33,26.03,non_rmg,0.47,0,0.61,0.47,14.9,94.23,0.63,1.0,low,0,VC,1
case_28,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,receive,10,7.0,T10,0,2,low,0.87,1.95,2,21.35,6.0,mid,0.4784,0,0.61,0.6916,2.95,28.65,0.63,1.0,high,0,T10,2
case_29,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,receive,4,15.0,T09,0,1,medium,0.81,4.6,1,30.6,8.27,low,0.5713,0,0.5613,0.5027,9.4,38.4,0.6013,1.0,low,0,T09,1
case_20,RMG_mixed,T23,2026-04-20 18:30:00,2026-04-20 18:48:00,2026-04-20 18:58:00,mixed,13,2.0,T23,0,1,high,0.8222,8.35,1,126.55,19.75,top_3,0.5311,1,0.6289,0.7689,22.0,166.0,0.64,1.0,very_high,0,T23,2
case_22,Gate Out,Res.GateOut,2026-04-20 18:38:00,2026-04-20 18:49:00,2026-04-20 18:49:00,delivery,4,3.0,T14,0,0,medium,0.74,6.17,1,120.3,32.5,top_3,0.4056,1,0.5444,0.6744,20.87,152.47,0.5544,1.0,high,0,T14,1
case_30,Gate In,Res.GateIn,2026-04-20 18:49:00,2026-04-20 18:49:00,2026-04-20 18:49:00,delivery,3,3.0,T14,0,0,high,0.7048,9.77,1,69.6,3.2,top_3,0.47,1,0.5976,0.6876,6.0,71.97,0.5924,0.0,high,0,T14,1
case_31,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,mixed,14,1.0,T21,1,1,medium,0.8351,5.13,1,96.37,0.0,top_3,0.5251,1,0.61,0.7851,28.27,92.97,0.6351,0.5,very_high,0,T21,2
case_8,HO2_receive,HO2,2026-04-20 18:19:00,2026-04-20 18:52:00,2026-04-20 19:14:00,receive,5,,VC,0,1,very_high,0.8727,31.83,1,136.08,39.17,non_rmg,0.47,0,0.6127,0.47,31.83,196.83,0.6327,1.0,low,0,VC,1
case_12,Gate Out,Res.GateOut,2026-04-20 18:40:00,2026-04-20 18:52:00,2026-04-20 18:52:00,receive,4,20.0,T09,0,1,high,0.8154,10.73,1,127.0,22.07,low,0.3846,0,0.55,0.2616,32.2,171.0,0.5646,1.0,low,0,T09,1
case_32,Gate In,Res.GateIn,2026-04-20 18:52:00,2026-04-20 18:52:00,2026-04-20 18:52:00,receive,4,,MT,0,1,very_high,0.75,25.48,1,141.5,25.48,non_rmg,0.393,0,0.6,0.75,51.32,173.02,0.59,1.0,very_high,0,MT,1
case_31,RMG_mixed,T21,2026-04-20 18:50:00,2026-04-20 18:52:00,2026-04-20 19:29:00,mixed,14,1.0,T21,1,1,medium,0.8351,5.13,1,96.37,0.0,top_3,0.5251,1,0.61,0.7851,28.27,92.97,0.6351,0.5,very_high,0,T21,2
case_33,Gate In,Res.GateIn,2026-04-20 18:52:00,2026-04-20 18:52:00,2026-04-20 18:52:00,delivery,2,,MT,0,0,very_high,0.8111,39.62,1,136.3,39.62,non_rmg,0.4105,1,0.52,0.8111,18.22,156.5,0.5505,0.0,very_high,0,MT,1
case_24,RMG_receive,T13,2026-04-20 18:46:00,2026-04-20 18:53:00,2026-04-20 19:02:00,receive,4,7.0,T13,0,1,medium,0.8582,6.9,1,116.33,33.03,mid,0.45,0,0.5791,0.7009,19.77,167.8,0.6091,1.0,high,0,T13,1
case_34,Gate In,Res.GateIn,2026-04-20 18:53:00,2026-04-20 18:53:00,2026-04-20 18:53:00,delivery,4,7.0,T16,0,0,low,0.86,3.83,1,26.0,2.92,mid,0.5,1,0.47,0.586,9.83,35.67,0.54,1.0,medium,0,T16,1
case_35,Gate In,Res.GateIn,2026-04-20 18:54:00,2026-04-20 18:54:00,2026-04-20 18:54:00,receive,4,11.0,T16,0,1,medium,0.8769,5.77,1,135.0,24.2,low,0.3669,0,0.52,0.5831,10.13,163.17,0.5569,1.0,medium,0,T16,1
case_32,LL_receive,LL,2026-04-20 18:52:00,2026-04-20 18:55:00,2026-04-20 18:58:00,receive,4,,MT,0,1,very_high,0.75,25.48,1,141.5,25.48,non_rmg,0.393,0,0.6,0.75,51.32,173.02,0.59,1.0,very_high,0,MT,1
case_36,Gate In,Res.GateIn,2026-04-20 18:55:00,2026-04-20 18:55:00,2026-04-20 18:55:00,receive,5,2.0,T18,0,1,low,0.8521,0.15,1,17.9,6.15,top_3,0.42,0,0.5279,0.6179,0.15,19.2,0.56,1.0,medium,0,T18,1
case_36,RMG_receive,T18,2026-04-20 18:55:00,2026-04-20 18:55:00,2026-04-20 19:08:00,receive,5,2.0,T18,0,1,low,0.8521,0.15,1,17.9,6.15,top_3,0.42,0,0.5279,0.6179,0.15,19.2,0.56,1.0,medium,0,T18,1
case_30,RMG_delivery,T14,2026-04-20 18:49:00,2026-04-20 18:56:00,2026-04-20 18:59:00,delivery,3,3.0,T14,0,0,high,0.7048,9.77,1,69.6,3.2,top_3,0.47,1,0.5976,0.6876,6.0,71.97,0.5924,0.0,high,0,T14,1
case_37,Gate In,Res.GateIn,2026-04-20 18:56:00,2026-04-20 18:56:00,2026-04-20 18:56:00,mixed,11,4.0,T21,0,1,medium,0.7899,4.93,1,99.5,18.2,mid,0.5798,1,0.59,0.7699,30.63,85.53,0.62,0.5,very_high,0,T21,2
case_33,RMG_delivery,T13,2026-04-20 18:52:00,2026-04-20 18:56:00,2026-04-20 18:58:00,delivery,2,,MT,0,0,very_high,0.8111,39.62,1,136.3,39.62,non_rmg,0.4105,1,0.52,0.8111,18.22,156.5,0.5505,0.0,very_high,0,MT,1
case_3,Gate Out,Res.GateOut,2026-04-20 18:40:00,2026-04-20 18:57:00,2026-04-20 18:57:00,receive,5,2.0,T21,0,1,high,0.8115,7.7,1,135.3,11.5,top_3,0.4,0,0.4908,0.63,12.8,144.6,0.5308,1.0,medium,0,T21,1
case_10,Gate Out,Res.GateOut,2026-04-20 18:49:00,2026-04-20 18:57:00,2026-04-20 18:57:00,mixed,11,15.0,T06,0,1,low,0.8594,3.53,2,30.37,7.9,low,0.4906,1,0.61,0.4306,5.53,35.43,0.63,1.0,low,0,T06,2
case_27,HO2_delivery,HO2,2026-04-20 18:47:00,2026-04-20 18:57:00,2026-04-20 19:00:00,receive,7,,VC,0,1,very_high,0.87,14.9,1,67.33,26.03,non_rmg,0.47,0,0.61,0.47,14.9,94.23,0.63,1.0,low,0,VC,1
case_38,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,receive,4,,VC,0,1,high,0.7242,10.67,1,64.33,20.83,non_rmg,0.4579,0,0.58,0.4579,10.67,92.83,0.586,1.0,low,0,VC,1
case_39,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,receive,7,,VC,0,1,very_high,0.83,31.0,1,145.77,23.7,non_rmg,0.58,0,0.5589,0.58,31.0,175.23,0.6089,1.0,medium,0,VC,1
case_40,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,delivery,4,15.0,T27,0,0,medium,0.8567,5.63,1,135.63,34.78,low,0.42,1,0.5367,0.54,8.1,168.42,0.5767,1.0,medium,0,T27,1
case_41,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,receive,4,8.0,T23,0,1,high,0.74,10.0,1,144.08,25.92,mid,0.4002,0,0.5498,0.6198,22.58,181.75,0.5598,1.0,medium,0,T23,1
case_42,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,receive,5,6.0,T18,0,1,medium,0.8735,6.4,1,140.4,27.3,mid,0.49,0,0.6168,0.74,25.2,186.3,0.6368,1.0,very_high,0,T18,1
case_4,Gate Out,Res.GateOut,2026-04-20 18:56:00,2026-04-20 18:58:00,2026-04-20 18:58:00,receive,5,9.0,T15,0,1,medium,0.9136,6.27,1,119.4,5.57,mid,0.4672,0,0.5864,0.6664,34.2,148.17,0.62,1.0,high,0,T15,1
case_14,Gate Out,Res.GateOut,2026-04-20 18:42:00,2026-04-20 18:58:00,2026-04-20 18:58:00,receive,4,,VC,0,1,very_high,0.9,30.17,1,143.08,20.08,non_rmg,0.4741,0,0.58,0.4741,30.17,185.0,0.618,1.0,low,0,VC,1
case_21,Gate Out,Res.GateOut,2026-04-20 18:44:00,2026-04-20 18:58:00,2026-04-20 18:58:00,receive,7,8.0,T19,1,1,low,0.8335,1.8,1,82.4,0.0,mid,0.5235,0,0.61,0.7135,17.8,71.2,0.6335,1.0,high,0,T19,1
case_26,RMG_delivery,T14,2026-04-20 18:47:00,2026-04-20 18:58:00,2026-04-20 18:59:00,delivery,2,10.0,T14,0,0,very_high,0.87,11.8,1,115.5,38.7,mid,0.35,1,0.45,0.5172,36.3,181.2,0.5072,0.0,medium,0,T14,1
case_43,Gate In,Res.GateIn,2026-04-20 18:58:00,2026-04-20 18:58:00,2026-04-20 18:58:00,receive,5,15.0,T06,0,1,medium,0.9029,6.0,1,135.5,7.45,low,0.4529,0,0.5829,0.48,34.2,171.15,0.6129,1.0,low,0,T06,1
case_29,RMG_receive,T09,2026-04-20 18:47:00,2026-04-20 18:59:00,2026-04-20 19:05:00,receive,4,15.0,T09,0,1,medium,0.81,4.6,1,30.6,8.27,low,0.5713,0,0.5613,0.5027,9.4,38.4,0.6013,1.0,low,0,T09,1
case_37,RMG_mixed,T21,2026-04-20 18:56:00,2026-04-20 18:59:00,2026-04-20 19:29:00,mixed,11,4.0,T21,0,1,medium,0.7899,4.93,1,99.5,18.2,mid,0.5798,1,0.59,0.7699,30.63,85.53,0.62,0.5,very_high,0,T21,2
