seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases
43,calendar_demand_x2.40,4800,14856,3649,32.29895833333333,28.0,55.0,418.0,11.135105508358455,8.0,22.0,8.100575500137024,5.0,19.0,2203,11.766681797548797,9.0,23.0,8.358147980027235,6.0,20.0,1188,8.66077441077441,6.0,17.0,7.906565656565657,5.0,19.0,0.17024380079183163,0.8766409668680976,817.0,352.43574051407586,0,0,4800,0,0,1655,True,2.4,4800
43,calendar_demand_x3.00,6000,18537,4552,32.041666666666664,28.0,54.0,327.0,11.014718804920914,8.0,22.0,8.135325131810193,5.0,19.0,2764,11.343342981186685,9.0,22.0,8.175108538350218,5.0,19.0,1478,8.961434370771313,7.0,17.0,8.0,5.0,19.0,0.15052508751458576,0.8806467744624104,903.0,398.6046511627907,0,0,6000,0,0,2067,True,3.0,6000
44,calendar_demand_x1.00,2000,6162,1532,32.018,28.0,54.0,327.0,11.191906005221933,9.0,22.0,8.102480417754569,5.0,19.0,903,11.473975636766335,9.0,21.0,7.861572535991141,5.0,19.0,508,8.85236220472441,7.0,19.0,8.726377952755906,6.0,20.0,0.6773386693346674,0.5302651325662832,1354.0,88.58197932053176,0,0,2000,0,0,498,True,1.0,2000
44,calendar_demand_x1.20,2400,7364,1827,31.175,28.0,52.0,171.0,11.009852216748769,8.0,23.0,8.040503557744938,6.0,19.0,1084,11.345018450184503,9.0,23.0,7.739852398523985,5.0,18.0,607,8.803953871499177,6.0,18.0,8.490939044481054,6.0,20.0,0.6127553147144643,0.535223009587328,1470.0,97.91836734693878,0,0,2400,0,0,484,True,1.2,2400
44,calendar_demand_x1.50,3000,9239,2302,31.750666666666667,28.0,53.0,495.0,11.233709817549956,8.0,22.0,8.105125977410948,6.0,18.0,1370,11.436496350364964,9.0,22.0,8.212408759124088,5.0,18.0,758,8.911609498680738,7.0,17.0,8.08311345646438,6.0,18.0,0.5318439479826609,0.5565188396132044,1595.0,112.81504702194357,0,0,3000,0,0,498,True,1.5,3000
44,calendar_demand_x2.00,4000,12309,3047,32.20775,28.0,55.0,473.0,11.391860846734494,9.0,23.0,8.12274368231047,6.0,19.0,1800,11.515555555555556,9.0,22.0,8.373888888888889,6.0,20.0,1007,9.104270109235353,7.0,18.0,7.746772591857001,5.0,18.0,0.17404351087771944,0.892223055763941,696.0,344.7413793103448,0,0,4000,0,0,1696,True,2.0,4000
44,calendar_demand_x2.40,4800,14796,3648,31.656041666666667,27.0,53.0,569.0,11.050986842105264,8.0,22.0,8.17626096491228,6.0,19.0,2165,11.663741339491917,9.0,23.0,8.404157043879907,6.0,19.0,1202,8.370216306156406,6.0,17.0,7.886855241264559,6.0,18.0,0.15586580537612002,0.8870598041258596,748.0,384.9465240641711,0,0,4800,0,0,1832,True,2.4,4800
44,calendar_demand_x3.00,6000,18522,4592,32.06766666666667,28.0,54.0,441.0,11.084494773519165,8.0,22.0,8.081881533101045,5.0,19.0,2732,11.408857979502196,9.0,23.0,8.034040995607613,6.0,19.0,1503,8.604125083167,7.0,17.0,8.194278110445776,5.0,18.799999999999955,0.1415235872645441,0.8839806634439074,849.0,423.9575971731449,0,0,6000,0,0,2142,True,3.0,6000
45,calendar_demand_x1.00,2000,6194,1497,32.058,28.0,53.100000000000136,330.0,10.852371409485638,8.0,21.40000000000009,8.04742818971276,5.0,19.0,901,11.27968923418424,9.0,21.0,7.9245283018867925,5.0,19.0,487,8.447638603696099,6.0,16.400000000000034,8.252566735112936,6.0,19.400000000000034,0.6878439219609805,0.5407703851925963,1375.0,87.22909090909091,0,0,2000,0,0,425,True,1.0,2000
45,calendar_demand_x1.20,2400,7454,1806,32.54875,28.0,55.0,516.0,11.110188261351052,8.0,23.0,8.063676633444075,5.0,19.0,1063,11.282220131702728,9.0,23.0,8.187206020696143,5.0,20.0,613,9.109298531810767,7.0,18.800000000000068,7.809135399673735,5.0,18.0,0.6252605252188412,0.5385577323884952,1500.0,95.96,0,0,2400,0,0,511,True,1.2,2400
