case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,rmg_demand,target_demand,target_rank_group,target_area,full_ratio,has_reefer,rmg_utilization,target_utilization_bin,mt_utilization,gate_demand,vc_demand,n_receives,gate_utilization,n_containers,process_flow_type,n_stops,primary_target_area,target_utilization,target_demand_bin,vc_utilization,target_rank,n_deliveries,mt_demand,visit_complexity,has_hazardous
case_31,RMG_mixed,T21,2026-04-20 18:50:00,2026-04-20 18:51:00,2026-04-20 19:10:00,96.37,5.13,top_3,T21,0.5,1,0.61,very_high,0.8351,92.97,28.27,1,0.6351,2,mixed,1,T21,0.7851,medium,0.5251,1.0,1,0.0,14,0
case_9,Gate Out,Res.GateOut,2026-04-20 18:41:00,2026-04-20 18:52:00,2026-04-20 18:52:00,71.15,3.65,mid,T20,1.0,0,0.56,high,0.9145,73.08,7.3,1,0.6,1,receive,1,T20,0.7,low,0.42,5.0,0,6.78,4,0
case_8,HO2_delivery,HO2,2026-04-20 18:19:00,2026-04-20 18:52:00,2026-04-20 19:11:00,136.08,31.83,non_rmg,VC,1.0,0,0.6127,low,0.8727,196.83,31.83,1,0.6327,1,receive,1,VC,0.47,very_high,0.47,,0,39.17,5,0
case_25,HO2_delivery,HO2,2026-04-20 18:46:00,2026-04-20 18:52:00,2026-04-20 19:30:00,103.0,21.73,non_rmg,MT,0.0,0,0.5082,very_high,0.8318,136.13,41.53,0,0.56,1,delivery,1,MT,0.8318,very_high,0.5,,1,21.73,3,0
case_32,Gate In,Res.GateIn,2026-04-20 18:52:00,2026-04-20 18:52:00,2026-04-20 18:52:00,141.5,25.48,non_rmg,MT,1.0,0,0.6,very_high,0.75,173.02,51.32,1,0.59,1,receive,1,MT,0.75,very_high,0.393,,0,25.48,4,0
case_33,Gate In,Res.GateIn,2026-04-20 18:52:00,2026-04-20 18:52:00,2026-04-20 18:52:00,136.3,39.62,non_rmg,MT,0.0,0,0.52,very_high,0.8111,156.5,18.22,0,0.5505,1,delivery,1,MT,0.8111,very_high,0.4105,,1,39.62,2,0
case_6,Gate Out,Res.GateOut,2026-04-20 18:36:00,2026-04-20 18:53:00,2026-04-20 18:53:00,64.97,5.22,low,T11,0.5,0,0.5661,low,0.847,108.67,18.83,1,0.603,2,mixed,2,T11,0.4791,medium,0.473,16.0,1,11.95,8,0
case_30,RMG_delivery,T14,2026-04-20 18:49:00,2026-04-20 18:53:00,2026-04-20 18:56:00,69.6,9.77,top_3,T14,0.0,0,0.5976,high,0.7048,71.97,6.0,0,0.5924,1,delivery,1,T14,0.6876,high,0.47,3.0,1,3.2,3,0
case_34,Gate In,Res.GateIn,2026-04-20 18:53:00,2026-04-20 18:53:00,2026-04-20 18:53:00,26.0,3.83,mid,T16,1.0,0,0.47,medium,0.86,35.67,9.83,0,0.54,1,delivery,1,T16,0.586,low,0.5,7.0,1,2.92,4,0
case_17,Gate Out,Res.GateOut,2026-04-20 18:42:00,2026-04-20 18:54:00,2026-04-20 18:54:00,120.4,4.27,mid,T11,1.0,0,0.5868,high,0.9132,147.33,32.2,1,0.62,1,receive,1,T11,0.6637,low,0.4663,10.0,0,5.73,5,0
case_28,LL_delivery,LL,2026-04-20 18:47:00,2026-04-20 18:54:00,2026-04-20 19:02:00,21.35,1.95,mid,T10,1.0,0,0.61,high,0.87,28.65,2.95,2,0.63,2,receive,2,T10,0.6916,low,0.4784,7.0,0,6.0,10,0
case_35,Gate In,Res.GateIn,2026-04-20 18:54:00,2026-04-20 18:54:00,2026-04-20 18:54:00,135.0,5.77,low,T16,1.0,0,0.52,medium,0.8769,163.17,10.13,1,0.5569,1,receive,1,T16,0.5831,medium,0.3669,11.0,0,24.2,4,0
case_33,HO2_receive,HO2,2026-04-20 18:52:00,2026-04-20 18:54:00,2026-04-20 19:05:00,136.3,39.62,non_rmg,MT,0.0,0,0.52,very_high,0.8111,156.5,18.22,0,0.5505,1,delivery,1,MT,0.8111,very_high,0.4105,,1,39.62,2,0
case_32,LL_receive,LL,2026-04-20 18:52:00,2026-04-20 18:55:00,2026-04-20 19:04:00,141.5,25.48,non_rmg,MT,1.0,0,0.6,very_high,0.75,173.02,51.32,1,0.59,1,receive,1,MT,0.75,very_high,0.393,,0,25.48,4,0
case_36,Gate In,Res.GateIn,2026-04-20 18:55:00,2026-04-20 18:55:00,2026-04-20 18:55:00,17.9,0.15,top_3,T18,1.0,0,0.5279,medium,0.8521,19.2,0.15,1,0.56,1,receive,1,T18,0.6179,low,0.42,2.0,0,6.15,5,0
case_21,Gate Out,Res.GateOut,2026-04-20 18:47:00,2026-04-20 18:56:00,2026-04-20 18:56:00,82.4,1.8,mid,T19,1.0,1,0.61,high,0.8335,71.2,17.8,1,0.6335,1,receive,1,T19,0.7135,low,0.5235,8.0,0,0.0,7,0
case_37,Gate In,Res.GateIn,2026-04-20 18:56:00,2026-04-20 18:56:00,2026-04-20 18:56:00,99.5,4.93,mid,T21,0.5,0,0.59,very_high,0.7899,85.53,30.63,1,0.62,2,mixed,1,T21,0.7699,medium,0.5798,4.0,1,18.2,11,0
case_26,RMG_delivery,T14,2026-04-20 18:47:00,2026-04-20 18:57:00,2026-04-20 18:59:00,115.5,11.8,mid,T14,0.0,0,0.45,medium,0.87,181.2,36.3,0,0.5072,1,delivery,1,T14,0.5172,very_high,0.35,10.0,1,38.7,2,0
case_38,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,64.33,10.67,non_rmg,VC,1.0,0,0.58,low,0.7242,92.83,10.67,1,0.586,1,receive,1,VC,0.4579,high,0.4579,,0,20.83,4,0
case_37,RMG_mixed,T21,2026-04-20 18:56:00,2026-04-20 18:57:00,2026-04-20 19:04:00,99.5,4.93,mid,T21,0.5,0,0.59,very_high,0.7899,85.53,30.63,1,0.62,2,mixed,1,T21,0.7699,medium,0.5798,4.0,1,18.2,11,0
case_39,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,145.77,31.0,non_rmg,VC,1.0,0,0.5589,medium,0.83,175.23,31.0,1,0.6089,1,receive,1,VC,0.58,very_high,0.58,,0,23.7,7,0
case_40,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,135.63,5.63,low,T27,1.0,0,0.5367,medium,0.8567,168.42,8.1,0,0.5767,1,delivery,1,T27,0.54,medium,0.42,15.0,1,34.78,4,0
case_41,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,144.08,10.0,mid,T23,1.0,0,0.5498,medium,0.74,181.75,22.58,1,0.5598,1,receive,1,T23,0.6198,high,0.4002,8.0,0,25.92,4,0
case_42,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,140.4,6.4,mid,T18,1.0,0,0.6168,very_high,0.8735,186.3,25.2,1,0.6368,1,receive,1,T18,0.74,medium,0.49,6.0,0,27.3,5,0
case_16,Gate Out,Res.GateOut,2026-04-20 18:41:00,2026-04-20 18:58:00,2026-04-20 18:58:00,92.2,24.75,non_rmg,MT,0.0,0,0.5268,very_high,0.8334,114.7,12.55,0,0.5634,1,delivery,1,MT,0.8334,very_high,0.42,,1,24.75,3,0
case_36,RMG_receive,T18,2026-04-20 18:55:00,2026-04-20 18:58:00,2026-04-20 19:05:00,17.9,0.15,top_3,T18,1.0,0,0.5279,medium,0.8521,19.2,0.15,1,0.56,1,receive,1,T18,0.6179,low,0.42,2.0,0,6.15,5,0
case_41,RMG_receive,T23,2026-04-20 18:57:00,2026-04-20 18:58:00,2026-04-20 19:17:00,144.08,10.0,mid,T23,1.0,0,0.5498,medium,0.74,181.75,22.58,1,0.5598,1,receive,1,T23,0.6198,high,0.4002,8.0,0,25.92,4,0
case_43,Gate In,Res.GateIn,2026-04-20 18:58:00,2026-04-20 18:58:00,2026-04-20 18:58:00,135.5,6.0,low,T06,1.0,0,0.5829,low,0.9029,171.15,34.2,1,0.6129,1,receive,1,T06,0.48,medium,0.4529,15.0,0,7.45,5,0
