activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train
LL_receive,8.0,5,7.982890738538777,12.911985010693337,9.041780054941643,13.614493406907942,-0.21906062026317974,174,696
LL_receive,8.0,10,7.982890738538777,12.911985010693337,8.437012052365072,13.136755309146944,-0.1350070305896296,174,696
LL_receive,8.0,20,7.982890738538777,12.911985010693337,8.73683335911573,13.115448095531658,-0.13132815796843045,174,696
LL_receive,8.0,50,7.982890738538777,12.911985010693337,8.068540923561342,12.86015786458473,-0.08771453004233587,174,696
LL_receive,,5,7.982890738538777,12.911985010693337,9.178831417624519,13.680991945197396,-0.23099844643124468,174,696
LL_receive,,10,7.982890738538777,12.911985010693337,8.423884028772866,13.107837346292975,-0.1300155445317428,174,696
LL_receive,,20,7.982890738538777,12.911985010693337,8.815993366900175,13.236595693056236,-0.15232487715692034,174,696
LL_receive,,50,7.982890738538777,12.911985010693337,8.068540923561342,12.86015786458473,-0.08771453004233587,174,696
RMG_delivery,2.0,5,6.0768931772452905,10.414545746198085,6.004608062956945,10.237842037997844,0.016662655460289,3408,13629
RMG_delivery,2.0,10,6.0768931772452905,10.414545746198085,6.004608062956945,10.237842037997844,0.016662655460289,3408,13629
RMG_delivery,2.0,20,6.0768931772452905,10.414545746198085,6.004608062956945,10.237842037997844,0.016662655460289,3408,13629
RMG_delivery,2.0,50,6.0768931772452905,10.414545746198085,6.004608062956945,10.237842037997844,0.016662655460289,3408,13629
RMG_delivery,3.0,5,6.0768931772452905,10.414545746198085,5.958451498404084,10.272008104573361,0.010088451798624498,3408,13629
RMG_delivery,3.0,10,6.0768931772452905,10.414545746198085,5.958451498404084,10.272008104573361,0.010088451798624498,3408,13629
RMG_delivery,3.0,20,6.0768931772452905,10.414545746198085,5.958451498404084,10.272008104573361,0.010088451798624498,3408,13629
RMG_delivery,3.0,50,6.0768931772452905,10.414545746198085,5.961737066363159,10.28195542099587,0.008170281338960694,3408,13629
RMG_delivery,5.0,5,6.0768931772452905,10.414545746198085,5.86105081776803,10.303859558398509,0.003939896235748197,3408,13629
RMG_delivery,5.0,10,6.0768931772452905,10.414545746198085,5.863341271506784,10.280813858551106,0.00839050651177653,3408,13629
RMG_delivery,5.0,20,6.0768931772452905,10.414545746198085,5.876255191001225,10.29873636491635,0.004930154297055456,3408,13629
RMG_delivery,5.0,50,6.0768931772452905,10.414545746198085,5.894459610639717,10.281730111488203,0.008213748988450287,3408,13629
RMG_delivery,8.0,5,6.0768931772452905,10.414545746198085,6.086365747877354,10.580958523601282,-0.050354034504053624,3408,13629
RMG_delivery,8.0,10,6.0768931772452905,10.414545746198085,6.1120245302349545,10.609607314658716,-0.05604956966808716,3408,13629
RMG_delivery,8.0,20,6.0768931772452905,10.414545746198085,6.091873219434785,10.61565510454392,-0.05725387177634622,3408,13629
RMG_delivery,8.0,50,6.0768931772452905,10.414545746198085,6.112655483623923,10.590074733183444,-0.05216471589997673,3408,13629
RMG_delivery,,5,6.0768931772452905,10.414545746198085,6.762579528094493,11.528824408063528,-0.2469692190255759,3408,13629
RMG_delivery,,10,6.0768931772452905,10.414545746198085,6.60015824420275,11.17866594085762,-0.1723725466599908,3408,13629
RMG_delivery,,20,6.0768931772452905,10.414545746198085,6.301369535193583,10.93268645934119,-0.12134556592266166,3408,13629
RMG_delivery,,50,6.0768931772452905,10.414545746198085,6.179381654601903,10.696049667285765,-0.07332811563883368,3408,13629
RMG_mixed,2.0,5,9.924203629352986,15.510252123374727,9.584596556032912,15.163366516945722,0.007931507552245698,2718,10870
RMG_mixed,2.0,10,9.924203629352986,15.510252123374727,9.584596556032912,15.163366516945722,0.007931507552245698,2718,10870
RMG_mixed,2.0,20,9.924203629352986,15.510252123374727,9.584596556032912,15.163366516945722,0.007931507552245698,2718,10870
RMG_mixed,2.0,50,9.924203629352986,15.510252123374727,9.584596556032912,15.163366516945722,0.007931507552245698,2718,10870
RMG_mixed,3.0,5,9.924203629352986,15.510252123374727,9.396296388628196,15.0607214325722,0.021317228044040126,2718,10870
RMG_mixed,3.0,10,9.924203629352986,15.510252123374727,9.396296388628196,15.0607214325722,0.021317228044040126,2718,10870
RMG_mixed,3.0,20,9.924203629352986,15.510252123374727,9.405982953651872,15.050139899536893,0.022691973088405315,2718,10870
RMG_mixed,3.0,50,9.924203629352986,15.510252123374727,9.405152338014737,15.050487176041736,0.022646870513448825,2718,10870
RMG_mixed,5.0,5,9.924203629352986,15.510252123374727,9.36339341733923,15.099398511516739,0.016284109920258194,2718,10870
RMG_mixed,5.0,10,9.924203629352986,15.510252123374727,9.258854727697987,14.945348600198257,0.03625421717529942,2718,10870
RMG_mixed,5.0,20,9.924203629352986,15.510252123374727,9.333217573022532,14.977535280357996,0.03209865271365875,2718,10870
RMG_mixed,5.0,50,9.924203629352986,15.510252123374727,9.284081906782202,14.918792304856973,0.039676121855730884,2718,10870
RMG_mixed,8.0,5,9.924203629352986,15.510252123374727,9.563625596965359,15.239234468496047,-0.0020207014925435196,2718,10870
RMG_mixed,8.0,10,9.924203629352986,15.510252123374727,9.44967732794397,15.031062461734512,0.025168058545486094,2718,10870
RMG_mixed,8.0,20,9.924203629352986,15.510252123374727,9.503089899021099,15.168199129187675,0.007299056135540161,2718,10870
RMG_mixed,8.0,50,9.924203629352986,15.510252123374727,9.421716529265563,15.009917011109081,0.027908884290981373,2718,10870
RMG_mixed,,5,9.924203629352986,15.510252123374727,10.89924401695925,16.516554117297524,-0.1770347401260004,2718,10870
RMG_mixed,,10,9.924203629352986,15.510252123374727,10.271918563122885,15.833302805185037,-0.08166661814946519,2718,10870
RMG_mixed,,20,9.924203629352986,15.510252123374727,9.935399528209748,15.600608195791446,-0.05010675338322601,2718,10870
RMG_mixed,,50,9.924203629352986,15.510252123374727,9.622779325104862,15.139307858383347,0.011077102217576962,2718,10870
RMG_receive,2.0,5,7.884660810716787,13.18465425523455,7.676733814168515,13.041200123794383,-0.005793117701563322,7586,30344
RMG_receive,2.0,10,7.884660810716787,13.18465425523455,7.676733814168515,13.041200123794383,-0.005793117701563322,7586,30344
RMG_receive,2.0,20,7.884660810716787,13.18465425523455,7.676733814168515,13.041200123794383,-0.005793117701563322,7586,30344
RMG_receive,2.0,50,7.884660810716787,13.18465425523455,7.676733814168515,13.041200123794383,-0.005793117701563322,7586,30344
RMG_receive,3.0,5,7.884660810716787,13.18465425523455,7.6718836624977556,13.060815844961265,-0.008821089815498118,7586,30344
RMG_receive,3.0,10,7.884660810716787,13.18465425523455,7.6718836624977556,13.060815844961265,-0.008821089815498118,7586,30344
RMG_receive,3.0,20,7.884660810716787,13.18465425523455,7.6718836624977556,13.060815844961265,-0.008821089815498118,7586,30344
RMG_receive,3.0,50,7.884660810716787,13.18465425523455,7.6718836624977556,13.060815844961265,-0.008821089815498118,7586,30344
RMG_receive,5.0,5,7.884660810716787,13.18465425523455,7.626443140747723,13.019107535520291,-0.0023882544183537746,7586,30344
RMG_receive,5.0,10,7.884660810716787,13.18465425523455,7.624084918537835,12.972189337459616,0.00482353130953217,7586,30344
RMG_receive,5.0,20,7.884660810716787,13.18465425523455,7.6300677801858265,13.005444722321428,-0.0002854594086576512,7586,30344
RMG_receive,5.0,50,7.884660810716787,13.18465425523455,7.6315475330362315,13.019261133945289,-0.0024119067562624608,7586,30344
RMG_receive,8.0,5,7.884660810716787,13.18465425523455,7.7806007674390525,13.234741351792819,-0.035868095739753025,7586,30344
RMG_receive,8.0,10,7.884660810716787,13.18465425523455,7.743058047019482,13.07219136294182,-0.010579151505042406,7586,30344
RMG_receive,8.0,20,7.884660810716787,13.18465425523455,7.735111430382572,13.07440530013244,-0.010921488633934828,7586,30344
RMG_receive,8.0,50,7.884660810716787,13.18465425523455,7.704045263511199,13.057852439876552,-0.00836335326528137,7586,30344
RMG_receive,,5,7.884660810716787,13.18465425523455,9.201735914947752,15.020708534568032,-0.33430274290923356,7586,30344
RMG_receive,,10,7.884660810716787,13.18465425523455,8.67804801552649,14.082242153468364,-0.17278163549063663,7586,30344
RMG_receive,,20,7.884660810716787,13.18465425523455,8.282955294189733,13.702023812170422,-0.11030674101738258,7586,30344
RMG_receive,,50,7.884660810716787,13.18465425523455,7.965831870986796,13.393914011417765,-0.060934454467326926,7586,30344
